date,mediacount,username,month,year
2021-08-01,720,joelle_fletcher,8,2021
2021-07-01,717,joelle_fletcher,7,2021
2021-06-01,715,joelle_fletcher,6,2021
2021-05-01,710,joelle_fletcher,5,2021
2021-04-01,707,joelle_fletcher,4,2021
2021-03-01,698,joelle_fletcher,3,2021
2021-02-01,692,joelle_fletcher,2,2021
2021-01-01,688,joelle_fletcher,1,2021
2020-12-01,679,joelle_fletcher,12,2020
2020-11-01,677,joelle_fletcher,11,2020
2020-10-01,669,joelle_fletcher,10,2020
2020-09-01,667,joelle_fletcher,9,2020
2020-08-01,659,joelle_fletcher,8,2020
2020-07-01,655,joelle_fletcher,7,2020
2020-06-01,658,joelle_fletcher,6,2020
2020-05-01,657,joelle_fletcher,5,2020
2020-04-01,652,joelle_fletcher,4,2020
2020-03-01,649,joelle_fletcher,3,2020
2020-02-01,644,joelle_fletcher,2,2020
2020-01-01,640,joelle_fletcher,1,2020
2019-12-01,631,joelle_fletcher,12,2019
2019-11-01,624,joelle_fletcher,11,2019
2019-10-01,614,joelle_fletcher,10,2019
2019-09-01,604,joelle_fletcher,9,2019
2019-08-01,586,joelle_fletcher,8,2019
2019-07-12,574,joelle_fletcher,7,2019
2019-05-01,559,joelle_fletcher,5,2019
2019-04-26,558,joelle_fletcher,4,2019
2019-03-01,544,joelle_fletcher,3,2019
2019-02-01,536,joelle_fletcher,2,2019
2019-01-01,530,joelle_fletcher,1,2019
2022-12-01,2968,theprettymess,12,2022
2022-11-01,2963,theprettymess,11,2022
2022-10-01,2958,theprettymess,10,2022
2022-09-01,2948,theprettymess,9,2022
2022-08-01,2936,theprettymess,8,2022
2022-07-01,2928,theprettymess,7,2022
2022-06-01,2919,theprettymess,6,2022
2022-05-01,2905,theprettymess,5,2022
2022-04-01,2891,theprettymess,4,2022
2022-03-01,2882,theprettymess,3,2022
2022-02-01,2870,theprettymess,2,2022
2022-01-01,2860,theprettymess,1,2022
2021-12-01,2847,theprettymess,12,2021
2021-11-01,2842,theprettymess,11,2021
2021-10-01,2837,theprettymess,10,2021
2021-09-01,2827,theprettymess,9,2021
2021-08-03,2818,theprettymess,8,2021
2021-07-01,2804,theprettymess,7,2021
2021-06-01,2795,theprettymess,6,2021
2021-05-01,2784,theprettymess,5,2021
2021-04-01,2771,theprettymess,4,2021
2021-03-01,2756,theprettymess,3,2021
2021-02-02,2735,theprettymess,2,2021
2021-01-01,2704,theprettymess,1,2021
2020-12-01,2691,theprettymess,12,2020
2020-11-01,2687,theprettymess,11,2020
2020-10-01,2665,theprettymess,10,2020
2020-09-01,2644,theprettymess,9,2020
2020-08-01,2619,theprettymess,8,2020
2020-07-01,2599,theprettymess,7,2020
2020-06-01,2582,theprettymess,6,2020
2020-05-01,2554,theprettymess,5,2020
2020-04-01,2534,theprettymess,4,2020
2020-03-01,2512,theprettymess,3,2020
2020-02-01,2488,theprettymess,2,2020
2020-01-01,2472,theprettymess,1,2020
2019-12-01,2463,theprettymess,12,2019
2019-11-01,2442,theprettymess,11,2019
2019-10-01,2429,theprettymess,10,2019
2019-09-01,2416,theprettymess,9,2019
2019-08-20,2405,theprettymess,8,2019
2019-04-01,2292,theprettymess,4,2019
2019-03-01,2265,theprettymess,3,2019
2019-02-01,2231,theprettymess,2,2019
2019-01-01,2199,theprettymess,1,2019
2022-12-01,543,ozthementalist,12,2022
2022-11-01,541,ozthementalist,11,2022
2022-10-01,537,ozthementalist,10,2022
2022-09-01,536,ozthementalist,9,2022
2022-08-01,537,ozthementalist,8,2022
