FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/lexxhidalgo,592595,1483
instagram,1,https://instagram.com/the_mommy_talks,592085,6097
instagram,1,https://instagram.com/cadecunn1ngham,590594,39
instagram,1,https://instagram.com/skyhblack,590039,319
instagram,1,https://instagram.com/karrie_locher,589815,1567
instagram,1,https://instagram.com/robyndixon10,587285,1180
instagram,1,https://instagram.com/toyabushharris,586524,2372
instagram,1,https://instagram.com/fav__foreign,584135,107
instagram,1,https://instagram.com/frenchie4oe,584108,223
instagram,1,https://instagram.com/makealabanks,509511,758
instagram,1,https://instagram.com/nataliekennedyblog,582557,1430
instagram,1,https://instagram.com/maliibumiitch,529731,956
instagram,1,https://instagram.com/jesshogancrum,579306,1768
instagram,1,https://instagram.com/annamkahn,578022,665
instagram,1,https://instagram.com/mariojudah,576148,16
instagram,1,https://instagram.com/yhung.chanel_,575408,1215
instagram,1,https://instagram.com/gerrybrooksprin,575280,1843
instagram,1,https://instagram.com/billybentley007,575197,442
instagram,1,https://instagram.com/nestingwithgrace,572699,2278
instagram,2,https://instagram.com/hardstark,570826,2378
instagram,1,https://instagram.com/sauceonlingning,548694,453
instagram,1,https://instagram.com/die.kim,561284,3022
instagram,1,https://instagram.com/little.ms.golden,559972,192
instagram,1,https://instagram.com/edwinacarlaisaac,559596,47
instagram,1,https://instagram.com/cottonstem,559460,987
instagram,1,https://instagram.com/denalifoxx,558836,199
instagram,1,https://instagram.com/fiftydeuce,558253,92
instagram,1,https://instagram.com/ziwef,557142,112
instagram,1,https://instagram.com/shilosanders,525011,247
instagram,1,https://instagram.com/vanlathan,555343,2601
instagram,1,https://instagram.com/janenecrossley,551626,1970
instagram,1,https://instagram.com/diorr,551196,72
instagram,1,https://instagram.com/things.i.bought.and.liked,550757,211
instagram,1,https://instagram.com/popsthefather,549979,174
instagram,1,https://instagram.com/camilaainc,539214,913
instagram,1,https://instagram.com/dwightschrutee,546842,1948
instagram,1,https://instagram.com/lindshubbs,544073,1389
instagram,1,https://instagram.com/officialmightyniecy,510549,247
instagram,1,https://instagram.com/teddyb_h2o,543424,58
instagram,1,https://instagram.com/mjgrimsley1001,541898,402
instagram,1,https://instagram.com/historicalhomesofamerica,541271,3114
instagram,1,https://instagram.com/kk.myloveenazir,541075,526
instagram,1,https://instagram.com/camreddish,539785,18
instagram,1,https://instagram.com/airrack,539782,418
instagram,1,https://instagram.com/itsbadkidtalan,531182,30
instagram,1,https://instagram.com/destroylonely,530748,3
instagram,1,https://instagram.com/officialkarenhuger,529536,1374
instagram,1,https://instagram.com/babyyhairz,528770,233
instagram,1,https://instagram.com/jalensuggs,528674,112
instagram,1,https://instagram.com/garywinthorpe,528166,114
instagram,1,https://instagram.com/elleriemarie,526788,35
instagram,1,https://instagram.com/haileynic0le__,515876,927
instagram,1,https://instagram.com/ynjay_,520073,760
instagram,1,https://instagram.com/thewadeempire,516060,1937
instagram,1,https://instagram.com/karlierae,513266,1925
instagram,1,https://instagram.com/meekalina_,518729,34
instagram,1,https://instagram.com/gy_yrigoyen,516957,276
instagram,1,https://instagram.com/lavellerose,513229,234
instagram,1,https://instagram.com/terrellgrice,512918,467
instagram,1,https://instagram.com/petey_usa,512115,414
instagram,1,https://instagram.com/derwinjames,509623,299
instagram,1,https://instagram.com/tinx,507994,1764
instagram,1,https://instagram.com/d1pop,504238,1890
instagram,1,https://instagram.com/rapsheet,504237,1774
instagram,1,https://instagram.com/ordinarypeoplememes,503689,2116
instagram,1,https://instagram.com/pattiegonia,503163,583
instagram,1,https://instagram.com/thehonesthome_,502520,136
instagram,1,https://instagram.com/chalynnmonee,501987,66
instagram,1,https://instagram.com/thehoodhealer,501771,170
instagram,1,https://instagram.com/iamterrencet,500863,454
