FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/amanda_stantonn,1126555,1626
instagram,1,https://instagram.com/atypicalamber,1382579,693
instagram,1,https://instagram.com/19problemz,1062034,210
instagram,1,https://instagram.com/ralofamgoon,1232558,1918
instagram,1,https://instagram.com/sydneymclaughlin16,1119114,70
instagram,1,https://instagram.com/ourfauxfarmhouse,1346382,1231
instagram,1,https://instagram.com/zachlanebryan,1344684,233
instagram,1,https://instagram.com/holliewdwrd,1341178,6085
instagram,1,https://instagram.com/lahjay10_,1333964,88
instagram,1,https://instagram.com/damsonidris,1327089,16
instagram,1,https://instagram.com/laurenluyendyk,1326216,666
instagram,1,https://instagram.com/ronniebanks,1005032,1772
instagram,1,https://instagram.com/lilkeed,1291812,38
instagram,1,https://instagram.com/stevenrinella,1176097,2193
instagram,1,https://instagram.com/westbrooks.crystal,1257596,1537
instagram,1,https://instagram.com/itscelinasmith,1069656,26
instagram,1,https://instagram.com/katarina.deme,1249320,65
instagram,1,https://instagram.com/mariahthescientist,1235626,67
instagram,1,https://instagram.com/600breezy,1175068,39
instagram,1,https://instagram.com/qveenn.cammie,1238318,16
instagram,1,https://instagram.com/champagneandchanel,1157770,2023
instagram,1,https://instagram.com/ravennicolegates,1215395,505
instagram,1,https://instagram.com/frills_and_drills,1213526,796
instagram,1,https://instagram.com/camcardii,1206790,229
instagram,1,https://instagram.com/chikalogy,1086410,1047
instagram,1,https://instagram.com/hairby_chrissy,1132727,4009
instagram,1,https://instagram.com/iiiamdess,1021055,92
instagram,1,https://instagram.com/masseya,1167075,3338
instagram,1,https://instagram.com/the_symone,1160542,1540
instagram,1,https://instagram.com/superstartgz,1079824,276
instagram,1,https://instagram.com/vernondavis85,1137561,243
instagram,1,https://instagram.com/iamdemarcusstigar,1120638,964
instagram,1,https://instagram.com/noahboat_,1040033,248
instagram,1,https://instagram.com/linabryan3,1118856,789
instagram,1,https://instagram.com/ladylondon,1041402,599
instagram,1,https://instagram.com/ericdecker,1109855,862
instagram,1,https://instagram.com/joy4site,1108924,387
instagram,1,https://instagram.com/mellowrackz,1108470,432
instagram,1,https://instagram.com/justnfields,1086415,65
instagram,1,https://instagram.com/lukelintz,1085399,115
instagram,1,https://instagram.com/joshallenqb,1063356,156
instagram,1,https://instagram.com/joeamabile1,1047787,413
instagram,1,https://instagram.com/skylardigginssmith,1050569,24
instagram,1,https://instagram.com/tuaman,1046355,57
instagram,1,https://instagram.com/travque,1044312,1199
instagram,1,https://instagram.com/jadennewman1,1033077,156
instagram,1,https://instagram.com/bigscarr,1037292,142
instagram,1,https://instagram.com/nicolejcombs,1036179,519
instagram,1,https://instagram.com/iloveangel2,1006132,1161
instagram,1,https://instagram.com/tlawrence16,1021080,275
instagram,1,https://instagram.com/nicktrawick13,1003036,276
