date,followees,username,month,year
2022-10-01,450,ozthementalist,10,2022
2022-09-01,447,ozthementalist,9,2022
2022-08-01,444,ozthementalist,8,2022
2022-07-01,446,ozthementalist,7,2022
2022-06-01,440,ozthementalist,6,2022
2022-05-01,436,ozthementalist,5,2022
2022-04-01,431,ozthementalist,4,2022
2022-03-01,428,ozthementalist,3,2022
2022-02-01,427,ozthementalist,2,2022
2022-01-01,422,ozthementalist,1,2022
2021-12-01,419,ozthementalist,12,2021
2021-11-01,412,ozthementalist,11,2021
2021-10-01,409,ozthementalist,10,2021
2021-09-01,408,ozthementalist,9,2021
2021-08-01,408,ozthementalist,8,2021
2021-07-01,403,ozthementalist,7,2021
2021-06-01,422,ozthementalist,6,2021
2021-05-01,421,ozthementalist,5,2021
2021-04-02,419,ozthementalist,4,2021
2021-03-01,418,ozthementalist,3,2021
2021-02-01,414,ozthementalist,2,2021
2021-01-01,413,ozthementalist,1,2021
2020-12-01,407,ozthementalist,12,2020
2020-11-01,405,ozthementalist,11,2020
2020-10-01,402,ozthementalist,10,2020
2020-09-01,397,ozthementalist,9,2020
2020-08-01,393,ozthementalist,8,2020
2020-07-01,383,ozthementalist,7,2020
2020-06-01,385,ozthementalist,6,2020
2020-05-01,380,ozthementalist,5,2020
2020-04-01,374,ozthementalist,4,2020
2020-03-01,370,ozthementalist,3,2020
2020-02-01,362,ozthementalist,2,2020
2020-01-01,352,ozthementalist,1,2020
2019-12-01,348,ozthementalist,12,2019
2019-11-01,381,ozthementalist,11,2019
2019-10-01,378,ozthementalist,10,2019
2019-09-01,376,ozthementalist,9,2019
2019-08-01,372,ozthementalist,8,2019
2019-07-01,372,ozthementalist,7,2019
2019-06-01,370,ozthementalist,6,2019
2019-05-01,368,ozthementalist,5,2019
2019-04-01,365,ozthementalist,4,2019
2019-03-02,358,ozthementalist,3,2019
2019-02-01,355,ozthementalist,2,2019
2019-01-01,350,ozthementalist,1,2019
2022-12-01,1417,krista.horton,12,2022
2022-11-01,1400,krista.horton,11,2022
2022-10-01,1390,krista.horton,10,2022
2022-09-01,1350,krista.horton,9,2022
2022-08-01,1317,krista.horton,8,2022
2022-07-01,1308,krista.horton,7,2022
2022-06-01,1272,krista.horton,6,2022
2022-05-01,1255,krista.horton,5,2022
2022-04-01,1229,krista.horton,4,2022
2022-03-01,1221,krista.horton,3,2022
2022-02-01,1188,krista.horton,2,2022
